neighborhoods,gifted,other_iep,not_iep_or_gifted,total_enrollment_k_12
Allegheny Center,12,89,250,351
Allegheny West,12,89,250,351
California Kirkbride,12,89,250,351
Chateau,12,89,250,351
Manchester,12,89,250,351
Allentown,15,148,366,529
Beltzhoover,15,148,366,529
Banksville,24,70,436,530
Ridgemont,24,70,436,530
Oakwood,24,70,436,530
East Carnegie,24,70,436,530
Westwood,24,70,436,530
Beechview,44,166,540,750
Bloomfield,43,50,198,291
Friendship,43,50,198,291
Bluff,11,36,152,199
Central Oakland,11,36,152,199
North Oakland,11,36,152,199
South Oakland,11,36,152,199
West Oakland,11,36,152,199
Brighton Heights,39,130,397,566
Brookline,119,203,790,1112
Carrick,60,265,887,1212
Central Northside,18,21,95,134
Central Lawrenceville,32,49,154,235
Upper Lawrenceville,32,49,154,235
Chartiers City,12,66,162,240
Esplen,12,66,162,240
Fairywood,12,66,162,240
Windgap,12,66,162,240
Crafton Heights,12,98,393,503
Duquesne Heights,28,124,335,487
Mount Washington,28,124,335,487
East Allegheny,18,55,199,272
Spring Garden,18,55,199,272
Troy Hill,18,55,199,272
East Hills,26,198,603,827
Wilkinsburg Borough,26,198,603,827
East Liberty,37,168,503,708
Larimer,37,168,503,708
Garfield,11,124,352,487
Greenfield,85,59,327,471
Hays,27,61,255,343
Lincoln Place,27,61,255,343
New Homestead,27,61,255,343
Hazelwood,30,185,420,635
Glen Hazel,30,185,420,635
Highland Park,83,45,254,382
Hill District,25,273,838,1136
Homewood North,27,274,789,1090
Homewood South,27,274,789,1090
Homewood West,27,274,789,1090
Knoxville,21,190,443,654
Bon Air,21,190,443,654
Lincoln-Lemington-Belmar,17,107,356,480
Lower Lawrenceville,11,22,102,135
Polish Hill,11,22,102,135
Strip District,11,22,102,135
Marshall-Shadeland,12,107,317,436
Morningside,16,28,121,165
Mt. Oliver,20,217,530,767
Arlington,20,217,530,767
Arlington Heights,20,217,530,767
St. Clair,20,217,530,767
Overbrook,17,55,192,264
Perry North,33,66,257,356
Perry South,18,133,348,499
Fineview,18,133,348,499
Point Breeze,97,32,177,306
Point Breeze North,19,23,87,129
Shadyside,26,20,154,200
Sheraden,14,194,428,636
South Side Flats,15,24,70,109
South Side Slopes,13,48,116,177
Spring Hill,13,171,589,773
Summer Hill,13,171,589,773
Northview Heights,13,171,589,773
Squirrel Hill North,108,20,200,328
Squirrel Hill South,242,69,440,751
Regent Square,242,69,440,751
Swisshelm Park,242,69,440,751
Stanton Heights,32,45,230,307
West End,13,69,162,244
Elliott,13,69,162,244
